Lat,Long,Count,Avg_speed
13.06374,80.250854,13.0,0.0
12.724052,79.981696,7.0,0.0
12.531385,79.900272,6.0,0.0
12.878609,80.081398,6.0,0.0
12.760414,80.003479,4.0,0.0
12.917188,80.107414,4.0,0.0
12.994085,80.185716,4.0,0.0
12.517886,79.890022,3.0,0.0
12.543551,79.904835,2.0,0.0
12.506524,79.880657,2.0,0.0
12.92985,80.079781,2.0,0.0
12.49612,79.872126,2.0,0.0
12.978978,80.226526,2.0,0.0
12.923345,80.119954,2.0,0.0
12.866663,80.07517,1.0,0.0
12.884343,80.082014,1.0,0.0
12.630245,79.931108,1.0,0.0
12.850022,80.064602,1.0,0.0
13.032061,80.242119,1.0,0.0
13.04352,80.149753,1.0,0.0
13.006878,80.251355,1.0,0.0
12.947536,80.13719,1.0,0.0
13.024305,80.228471,0.0,0.0
12.697172,79.972959,0.0,0.0
12.986572,80.175039,0.0,0.0
12.955171,80.089269,0.0,0.0
12.579002,79.917935,0.0,0.0
13.059481,80.254169,0.0,0.0
12.657383,79.95784,0.0,0.0
12.846198,80.061805,0.0,0.0
12.946238,80.106785,0.0,0.0
13.05122,80.082627,0.0,0.0
13.169865,80.239507,0.0,0.0
13.034954,80.245667,0.0,0.0
12.955786,80.142851,0.0,0.0
13.039637,80.247111,0.0,0.0
12.945427,80.183226,0.0,0.0
12.742892,79.992339,0.0,0.0
12.700203,79.968748,0.0,0.0
12.771994,80.008218,0.0,0.0
12.562395,79.912516,0.0,0.0
12.523187,79.896101,0.0,0.0
12.811129,80.03069,0.0,0.0
12.661689,79.967107,0.0,0.0
13.048124,80.120365,0.0,0.0
12.860163,80.07245,0.0,0.0
12.938503,80.129086,0.0,0.0
12.931628,80.122704,0.0,0.0
12.70484,79.973481,0.0,0.0
13.054174,80.123824,0.0,0.0
12.889753,80.084523,0.0,0.0
12.94858,80.201771,0.0,0.0
13.009064,80.228871,0.0,0.0
12.871437,80.101412,0.0,0.0
12.917801,80.189343,0.0,0.0
12.919628,80.196326,0.0,0.0
