Lat,Long,Count,Avg_speed
12.876152,80.083209,35.0,0.0
13.053197,80.271434,30.0,0.0
13.065218,80.247813,20.0,0.0
13.059198,80.274276,19.0,0.0
13.064363,80.274006,12.0,0.0
13.068731,80.267872,11.0,0.0
12.510567,79.88506,7.0,0.0
13.05945,80.265557,5.0,0.0
12.974388,80.135237,5.0,0.0
12.693963,79.979027,4.0,0.0
12.687592,79.982998,4.0,0.0
13.052224,80.263844,3.0,0.0
12.964775,80.196337,3.0,0.0
12.699832,79.968292,3.0,0.0
13.006785,80.247846,3.0,0.0
12.998238,80.096634,3.0,0.0
13.031213,80.266836,2.0,0.0
12.697787,79.976359,2.0,0.0
12.971781,80.1412,2.0,0.0
12.96096,80.187209,1.0,0.0
12.922535,80.147754,1.0,0.0
12.980417,80.228272,1.0,0.0
12.743358,79.992319,1.0,0.0
13.06376,80.260032,1.0,0.0
12.981619,80.139386,1.0,0.0
13.056616,80.257827,1.0,0.0
13.04294,80.115312,1.0,0.0
12.95607,80.18703,1.0,0.0
12.679792,79.980748,1.0,0.0
12.906203,80.096338,0.0,0.0
12.506566,79.880659,0.0,0.0
12.72413,79.982061,0.0,0.0
12.977384,80.159361,0.0,0.0
12.953443,80.164217,0.0,0.0
13.169852,80.239483,0.0,0.0
12.939488,80.182468,0.0,0.0
13.026156,80.265788,0.0,0.0
13.124783,80.29446,0.0,0.0
12.863287,80.07379,0.0,0.0
13.006703,80.256965,0.0,0.0
13.03814,80.246625,0.0,0.0
13.130494,80.258818,0.0,0.0
13.071539,80.259111,0.0,0.0
12.984628,80.121685,0.0,0.0
12.843988,80.059556,0.0,0.0
12.930311,80.115007,0.0,0.0
12.987685,80.141999,0.0,0.0
12.924787,80.099722,0.0,0.0
12.921798,80.093554,0.0,0.0
12.963643,80.216215,0.0,0.0
12.965266,80.206979,0.0,0.0
13.019144,80.261609,0.0,0.0
12.930392,80.181523,0.0,0.0
13.030686,80.239312,0.0,0.0
12.987726,80.25568,0.0,0.0
12.920457,80.184052,0.0,0.0
12.922858,80.12777,0.0,0.0
