Alert,Date,Time,Lat,Long,Vehicle,Speed,Weekday,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
cas_hmw,2022-08-14,06:48:30,12.904151,80.094473,5339,54,Sunday,0,0,0,0,0,1,0,1
cas_hmw,2022-08-14,06:51:09,12.917793,80.108181,5339,37,Sunday,0,0,0,2,0,0,0,0
cas_hmw,2022-08-14,06:51:27,12.919124,80.109814,5339,50,Sunday,0,0,0,4,0,0,0,0
cas_hmw,2022-08-14,06:51:50,12.920715,80.111728,5339,46,Sunday,1,0,0,5,0,3,0,0
cas_hmw,2022-08-14,06:57:53,12.936153,80.127103,5339,24,Sunday,0,0,0,1,0,3,0,0
cas_hmw,2022-08-14,07:00:22,12.947495,80.137184,5339,54,Sunday,0,1,1,2,0,2,1,0
cas_hmw,2022-08-14,07:00:47,12.950614,80.139577,5339,47,Sunday,0,1,1,1,0,2,1,0
cas_hmw,2022-08-14,07:03:38,12.963262,80.146905,5339,54,Sunday,0,1,0,1,0,1,0,0
cas_hmw,2022-08-14,07:07:36,12.986139,80.174193,5339,52,Sunday,0,0,0,0,0,0,0,1
cas_hmw,2022-08-14,07:08:40,12.99091,80.180574,5339,49,Sunday,0,0,0,1,0,1,0,1
cas_hmw,2022-08-14,07:08:56,12.99091,80.180574,5339,49,Sunday,0,0,0,1,0,1,0,1
cas_hmw,2022-08-14,07:09:18,12.99091,80.180574,5339,49,Sunday,0,0,0,1,0,1,0,1
cas_hmw,2022-08-14,07:09:29,12.993982,80.18527,5339,31,Sunday,0,1,0,1,0,1,0,0
cas_hmw,2022-08-14,07:09:35,12.993982,80.18527,5339,31,Sunday,0,1,0,1,0,1,0,0
cas_hmw,2022-08-14,07:09:42,12.993982,80.18527,5339,31,Sunday,0,1,0,1,0,1,0,0
cas_hmw,2022-08-14,07:11:21,13.001106,80.195454,5339,53,Sunday,1,1,0,0,2,0,2,1
cas_hmw,2022-08-14,07:11:33,13.002154,80.197216,5339,46,Sunday,1,0,0,1,2,0,2,1
cas_hmw,2022-08-14,07:13:04,13.005103,80.201435,5339,36,Sunday,1,0,0,3,2,0,2,1
cas_hmw,2022-08-14,07:14:32,13.007948,80.207771,5339,57,Sunday,0,0,0,2,1,6,2,1
cas_hmw,2022-08-14,07:14:41,13.008144,80.209105,5339,48,Sunday,0,0,0,2,0,6,2,1
cas_hmw,2022-08-14,07:14:43,13.008144,80.209105,5339,48,Sunday,0,0,0,2,0,6,2,1
cas_hmw,2022-08-14,07:15:19,13.009784,80.213766,5339,49,Sunday,0,0,0,1,0,6,2,1
cas_hmw,2022-08-14,07:16:02,13.011291,80.217987,5339,58,Sunday,2,1,0,1,0,7,2,1
cas_hmw,2022-08-14,07:16:13,13.011794,80.219417,5339,58,Sunday,2,1,1,2,0,7,2,0
cas_hmw,2022-08-14,07:16:19,13.012275,80.220814,5339,57,Sunday,2,1,1,2,0,3,4,0
cas_hmw,2022-08-14,07:16:42,13.01369,80.222972,5339,50,Sunday,2,1,2,2,1,3,4,0
cas_hmw,2022-08-14,07:16:46,13.014449,80.223875,5339,43,Sunday,2,1,2,2,1,3,4,0
cas_hmw,2022-08-14,07:18:38,13.02276,80.226867,5339,56,Sunday,1,0,1,1,1,4,7,2
cas_hmw,2022-08-14,07:19:11,13.024769,80.229023,5339,24,Sunday,2,0,0,0,1,3,7,1
cas_hmw,2022-08-14,07:20:47,13.026033,80.231355,5339,10,Sunday,7,0,0,0,0,4,6,1
cas_hmw,2022-08-14,07:23:56,13.031867,80.24133,5339,50,Sunday,9,6,1,6,0,3,3,3
cas_hmw,2022-08-14,07:24:43,13.035019,80.245782,5339,45,Sunday,7,10,3,9,0,7,1,2
cas_hmw,2022-08-14,07:24:44,13.035019,80.245782,5339,45,Sunday,7,10,3,9,0,7,1,2
cas_hmw,2022-08-14,07:24:49,13.035019,80.245782,5339,45,Sunday,7,10,3,9,0,7,1,2
cas_hmw,2022-08-14,07:24:55,13.035019,80.245782,5339,45,Sunday,7,10,3,9,0,7,1,2
cas_hmw,2022-08-14,07:26:47,13.038923,80.246878,5339,0,Sunday,5,14,4,6,0,7,4,2
cas_hmw,2022-08-14,07:29:31,13.053409,80.252352,5339,61,Sunday,10,10,8,9,1,9,7,3
cas_hmw,2022-08-14,07:39:35,13.081832,80.276184,5339,32,Sunday,4,61,11,4,2,16,21,7
cas_hmw,2022-08-14,07:39:38,13.081948,80.277061,5339,34,Sunday,4,53,11,4,2,19,21,6
cas_hmw,2022-08-14,07:39:39,13.081948,80.277061,5339,34,Sunday,4,53,11,4,2,19,21,6
cas_hmw,2022-08-14,07:40:01,13.082157,80.278554,5339,29,Sunday,5,40,12,4,1,19,21,8
cas_hmw,2022-08-14,07:40:12,13.082199,80.279366,5339,37,Sunday,4,28,11,4,1,16,20,6
cas_hmw,2022-08-14,07:52:27,13.079309,80.281877,5339,0,Sunday,0,10,3,2,0,16,6,6
cas_hmw,2022-08-14,11:35:29,13.080686,80.288376,5339,32,Sunday,1,1,1,2,2,5,2,6
