Alert,Date,Time,Lat,Long,Vehicle,Speed
cas_ldw,2022-06-01,05:36:36,12.887403,80.083412,2846,48
cas_ldw,2022-06-01,05:36:47,12.892586,80.085794,2846,58
cas_ldw,2022-06-01,05:37:04,12.894932,80.087564,2846,57
cas_ldw,2022-06-01,05:37:31,12.898267,80.090062,2846,49
cas_ldw,2022-06-01,05:38:08,12.901594,80.092538,2846,58
cas_ldw,2022-06-01,05:38:21,12.903877,80.094272,2846,54
cas_ldw,2022-06-01,05:38:41,12.906194,80.095953,2846,58
cas_ldw,2022-06-01,05:40:21,12.915664,80.103135,2846,62
cas_ldw,2022-06-01,05:41:17,12.918451,80.109058,2846,51
cas_ldw,2022-06-01,05:41:25,12.919239,80.110028,2846,47
cas_ldw,2022-06-01,05:41:58,12.923053,80.114106,2846,57
cas_ldw,2022-06-01,06:04:38,12.957073,80.14356,2846,39
cas_ldw,2022-06-01,06:05:10,12.87899,80.080324,805,13
cas_ldw,2022-06-01,06:06:41,12.873922,80.078184,805,59
cas_ldw,2022-06-01,06:07:12,12.86711,80.075508,805,58
cas_ldw,2022-06-01,06:07:50,12.855921,80.069229,805,58
cas_ldw,2022-06-01,06:08:17,12.852359,80.066607,805,58
cas_ldw,2022-06-01,06:08:36,12.849964,80.064909,805,58
cas_ldw,2022-06-01,06:09:18,12.845798,80.061731,805,45
cas_ldw,2022-06-01,06:09:56,12.980898,80.165679,2846,53
cas_ldw,2022-06-01,06:10:08,12.980898,80.165679,2846,53
cas_ldw,2022-06-01,06:10:17,12.841731,80.057609,805,58
cas_ldw,2022-06-01,06:11:44,12.831583,80.046907,805,58
cas_ldw,2022-06-01,06:12:59,12.822942,80.038928,805,58
cas_ldw,2022-06-01,06:13:08,12.992264,80.182428,2846,54
cas_ldw,2022-06-01,06:13:23,12.820537,80.037237,805,57
cas_ldw,2022-06-01,06:14:04,12.818145,80.035529,805,57
cas_ldw,2022-06-01,06:15:07,12.814768,80.033094,805,61
cas_ldw,2022-06-01,06:15:58,12.801438,80.02447,805,58
cas_ldw,2022-06-01,06:16:08,12.800221,80.023653,805,56
cas_ldw,2022-06-01,06:16:26,12.797784,80.022085,805,58
cas_ldw,2022-06-01,06:17:00,12.793592,80.019323,805,59
cas_ldw,2022-06-01,06:17:27,12.790001,80.017028,805,57
cas_ldw,2022-06-01,06:18:37,12.781964,80.012667,805,58
cas_ldw,2022-06-01,06:19:23,13.010352,80.215922,2846,50
cas_ldw,2022-06-01,06:19:42,13.010352,80.215922,2846,50
cas_ldw,2022-06-01,06:20:11,12.770133,80.007326,805,46
cas_ldw,2022-06-01,06:20:42,12.766036,80.005408,805,58
cas_ldw,2022-06-01,06:21:03,12.763868,80.004497,805,58
cas_ldw,2022-06-01,06:22:20,12.753059,80.000121,805,57
cas_ldw,2022-06-01,06:22:40,12.751096,79.998814,805,58
cas_ldw,2022-06-01,06:22:59,12.749247,79.997342,805,58
cas_ldw,2022-06-01,06:23:20,12.74555,79.994405,805,58
cas_ldw,2022-06-01,06:23:26,12.74555,79.994405,805,58
