Alert,Date,Time,Lat,Long,Vehicle,Speed,Weekday
cas_pcw,2022-06-01,06:34:05,13.060628,80.25437,2846,42,Wednesday
cas_pcw,2022-06-01,07:17:05,13.066903,80.273656,2846,18,Wednesday
cas_pcw,2022-06-01,07:18:38,13.062345,80.274259,2846,23,Wednesday
cas_pcw,2022-06-01,07:19:59,13.061044,80.274416,2846,9,Wednesday
cas_pcw,2022-06-01,07:21:40,13.056923,80.273946,2846,25,Wednesday
cas_pcw,2022-06-01,07:23:17,12.627557,79.930026,805,54,Wednesday
cas_pcw,2022-06-01,07:30:19,13.049029,80.249786,2846,39,Wednesday
cas_pcw,2022-06-01,07:44:43,12.696756,79.976834,805,18,Wednesday
cas_pcw,2022-06-01,07:45:04,12.697349,79.976465,805,27,Wednesday
cas_pcw,2022-06-01,08:11:56,12.841825,80.057242,805,36,Wednesday
cas_pcw,2022-06-01,08:17:22,12.906203,80.096338,2846,0,Wednesday
cas_pcw,2022-06-01,11:50:19,12.966529,80.090406,2846,10,Wednesday
cas_pcw,2022-06-01,12:16:28,12.878925,80.080781,5339,14,Wednesday
cas_pcw,2022-06-01,16:31:38,12.875752,80.083842,805,3,Wednesday
cas_pcw,2022-06-01,17:15:05,12.693963,79.979027,805,0,Wednesday
cas_pcw,2022-06-01,17:15:54,12.691746,79.980376,805,24,Wednesday
cas_pcw,2022-06-01,17:16:05,12.691414,79.980685,805,17,Wednesday
cas_pcw,2022-06-01,17:19:01,12.684107,79.983364,805,0,Wednesday
cas_pcw,2022-06-01,17:21:28,12.678134,79.979764,805,12,Wednesday
cas_pcw,2022-06-01,17:50:44,12.510567,79.88506,805,0,Wednesday
cas_pcw,2022-06-01,18:27:39,12.719549,79.981001,805,56,Wednesday
cas_pcw,2022-06-02,06:59:21,12.506566,79.880659,805,0,Thursday
cas_pcw,2022-06-02,07:13:56,13.071636,80.264641,2846,29,Thursday
cas_pcw,2022-06-02,07:14:47,13.070698,80.265576,2846,19,Thursday
cas_pcw,2022-06-02,07:18:34,13.062696,80.274187,2846,27,Thursday
cas_pcw,2022-06-02,07:24:57,13.053971,80.273805,2846,8,Thursday
cas_pcw,2022-06-02,07:25:39,13.052988,80.272508,2846,8,Thursday
cas_pcw,2022-06-02,07:26:28,13.053218,80.270639,2846,23,Thursday
cas_pcw,2022-06-02,07:26:38,13.053255,80.269981,2846,27,Thursday
cas_pcw,2022-06-02,07:26:43,13.053325,80.269389,2846,22,Thursday
cas_pcw,2022-06-02,07:27:16,13.053386,80.268825,2846,5,Thursday
cas_pcw,2022-06-02,07:42:38,12.697172,79.97275,805,11,Thursday
